2021/12/29 19:31:39 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 24 main.init.0"],"level":"info","message":"eddycjy: go-programing-tour-book/blog-service","time":1640777499147421200}
2021/12/30 23:05:01 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640876701891164600}
2021/12/30 23:10:28 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640877028792409800}
2021/12/30 23:10:53 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640877053640611200}
2021/12/30 23:11:18 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640877078097597100}
2021/12/30 23:17:29 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640877449979050400}
2021/12/30 23:24:30 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640877870127215800}
2021/12/30 23:25:39 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640877939630942000}
2021/12/30 23:28:09 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640878089175083000}
2021/12/30 23:28:22 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640878102984718200}
2021/12/30 23:30:32 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640878232736333000}
2021/12/30 23:41:43 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640878903286077600}
2021/12/30 23:42:03 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"fatal","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640878923234533400}
2021/12/30 23:43:50 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"app.BindAndValid errs: State必須是[0 1]中的一個","time":1640879030305522800}
2021/12/30 23:44:52 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1640879092921287500}
2022/01/15 22:40:52 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"app.BindAndValid errs: Name长度必须至少为3个字符","time":1642257652428150500}
2022/01/15 22:41:20 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"svc.Create err: Error 1054: Unknown column 'delete_on' in 'field list'","time":1642257680395159900}
2022/01/16 22:15:52 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"svc.BindAndValid err: Name为必填字段,ModifiedBy为必填字段","time":1642342552894923800}
2022/01/16 22:20:19 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"svc.BindAndValid err: Name为必填字段,ModifiedBy为必填字段","time":1642342819372370000}
2022/01/16 22:22:36 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"svc.BindAndValid err: Name为必填字段","time":1642342956156955100}
2022/01/17 19:42:50 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"fileHeader: \u003cnil\u003e","time":1642419770421532600}
2022/01/17 19:42:50 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"filetype: \u003cnil\u003e","time":1642419770422613200}
2022/01/17 19:53:54 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"fileHeader: \u003cnil\u003e","time":1642420434687657400}
2022/01/17 19:53:54 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"filetype: \u003cnil\u003e","time":1642420434688179500}
2022/02/05 11:45:27 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"svc.UploadFile err: file suffix is not support.","time":1644032727739134900}
2022/02/05 11:55:03 {"callers":["C:/workspace/GO/go-programing-tour-book/blog-service/main.go: 27 main.init.0"],"level":"error","message":"svc.UploadFile err: file suffix is not support.","time":1644033303621359400}
